D:\anaconda3\envs\dl\python.exe D:/NextcloudDesktop/FDU/courses/AI-RISC/project/HW3/main.py
epoch:0, train_loss:6.961737, test_loss:2.546777, acc=0.340278 (49,144), best_acc:0.340278
epoch:1, train_loss:1.991213, test_loss:1.543810, acc=0.236111 (34,144), best_acc:0.340278
epoch:2, train_loss:1.312453, test_loss:1.091388, acc=0.409722 (59,144), best_acc:0.409722
epoch:3, train_loss:1.061707, test_loss:0.932196, acc=0.527778 (76,144), best_acc:0.527778
epoch:4, train_loss:0.935725, test_loss:0.827974, acc=0.645833 (93,144), best_acc:0.645833
epoch:5, train_loss:0.850965, test_loss:0.755482, acc=0.680556 (98,144), best_acc:0.680556
epoch:6, train_loss:0.789168, test_loss:0.702851, acc=0.715278 (103,144), best_acc:0.715278
epoch:7, train_loss:0.741869, test_loss:0.662771, acc=0.736111 (106,144), best_acc:0.736111
epoch:8, train_loss:0.704316, test_loss:0.630832, acc=0.777778 (112,144), best_acc:0.777778
epoch:9, train_loss:0.673601, test_loss:0.604437, acc=0.777778 (112,144), best_acc:0.777778
epoch:10, train_loss:0.647859, test_loss:0.582028, acc=0.805556 (116,144), best_acc:0.805556
epoch:11, train_loss:0.625844, test_loss:0.562624, acc=0.805556 (116,144), best_acc:0.805556
epoch:12, train_loss:0.606703, test_loss:0.545570, acc=0.819444 (118,144), best_acc:0.819444
epoch:13, train_loss:0.589833, test_loss:0.530407, acc=0.840278 (121,144), best_acc:0.840278
epoch:14, train_loss:0.574796, test_loss:0.516798, acc=0.840278 (121,144), best_acc:0.840278
epoch:15, train_loss:0.561265, test_loss:0.504489, acc=0.847222 (122,144), best_acc:0.847222
epoch:16, train_loss:0.548991, test_loss:0.493280, acc=0.861111 (124,144), best_acc:0.861111
epoch:17, train_loss:0.537781, test_loss:0.483016, acc=0.861111 (124,144), best_acc:0.861111
epoch:18, train_loss:0.527481, test_loss:0.473568, acc=0.861111 (124,144), best_acc:0.861111
epoch:19, train_loss:0.517966, test_loss:0.464831, acc=0.861111 (124,144), best_acc:0.861111
epoch:20, train_loss:0.509137, test_loss:0.456719, acc=0.861111 (124,144), best_acc:0.861111
epoch:21, train_loss:0.500908, test_loss:0.449159, acc=0.861111 (124,144), best_acc:0.861111
epoch:22, train_loss:0.493210, test_loss:0.442086, acc=0.861111 (124,144), best_acc:0.861111
epoch:23, train_loss:0.485983, test_loss:0.435450, acc=0.868056 (125,144), best_acc:0.868056
epoch:24, train_loss:0.479178, test_loss:0.429203, acc=0.875000 (126,144), best_acc:0.875000
epoch:25, train_loss:0.472752, test_loss:0.423307, acc=0.881944 (127,144), best_acc:0.881944
epoch:26, train_loss:0.466666, test_loss:0.417728, acc=0.881944 (127,144), best_acc:0.881944
epoch:27, train_loss:0.460890, test_loss:0.412435, acc=0.888889 (128,144), best_acc:0.888889
